Title,O*NET-SOC Code,Reading Comprehension - IM,Reading Comprehension - LV,Active Listening - IM,Active Listening - LV,Writing - IM,Writing - LV,Speaking - IM,Speaking - LV,Mathematics - IM,Mathematics - LV,Science - IM,Science - LV,Critical Thinking - IM,Critical Thinking - LV,Active Learning - IM,Active Learning- LV,Learning Strategies - IM,Learning Strategies- LV,Monitoring - IM,Monitoring - LV,Social Perceptiveness - IM,Social Perceptiveness - LV,Coordination - IM,Coordination - LV,Persuasion - IM,Persuasion - LV,Negotiation - IM,Negotiation - LV,Instructing - IM,Instructing - LV,Service Orientation - IM,Service Orientation - LV,Complex Problem Solving - IM,Complex Problem Solving - LV,Operations Analysis - IM,Operations Analysis - LV,Technology Design - IM,Technology Design - LV,Equipment Selection - IM,Equipment Selection - LV,Installation - IM,Installation - LV,Programming - IM,Programming - LV,Operations Monitoring - IM,Operations Monitoring - LV,Operation and Control - IM,Operation and Control  - LV,Equipment Maintenance - IM,Equipment Maintenance - LV,Troubleshooting - IM,Troubleshooting - LV,Repairing - IM,Repairing - LV,Quality Control Analysis - IM,Quality Control Analysis - LV,Judgment and Decision Making - IM,Judgment and Decision Making - LV,Systems Analysis - IM,Systems Analysis - LV,Systems Evaluation - IM,Systems Evaluation - LV,Time Management - IM,Time Management - LV,Management of Financial Resources - IM,Management of Financial Resources - LV,Management of Material Resources - IM,Management of Material Resources - LV,Management of Personnel Resources - IM,Management of Personnel Resources - LV
Wind Energy Operations Managers,11-9199.09,3.88,4,4,4,3.75,4,3.88,4,3,3.25,2,1.12,3.88,4,3,3.62,3,3.12,3.88,4.12,3.75,4,3.62,3.88,3.62,3.75,3.12,3.88,3.12,3.62,2.88,3.12,3.25,3.75,2.25,2.25,2,1.25,2.38,2.25,1,0,1.88,1.25,3.25,3.25,2.5,2.5,2.12,2.25,2.75,2.5,2,2.12,3,3,3.38,3.62,3,3.25,3,3.12,3.25,3.25,2.88,3.62,2.88,3.12,3.75,4
Wind Energy Development Managers,11-9199.10,3.88,4.25,3.75,3.75,3.88,3.88,3.88,3.75,3,3.5,1.75,1.12,4,4.25,3.38,4,2.75,2.88,3.5,3.88,3.5,3.62,3.62,3.88,3.25,3.75,3.38,3.75,2.88,3.25,2.88,3.12,3.38,3.25,2,1.62,1.75,1,1.25,0.38,1,0,1.75,1.25,2.12,1.88,1.88,1.38,1.12,0.38,2,1.38,1.12,0.38,2.38,2.5,3.62,3.5,3,3.12,3,3.38,3.38,3.62,3.12,3.5,3,3.5,3.38,3.38
Brownfield Redevelopment Specialists and Site Managers,11-9199.11,4,4.5,3.88,4,3.88,4.12,4,4.12,3.62,3.88,3,3.25,4,4.25,3.25,3.88,3,3,4,4.12,3.25,3.12,4,4.12,3.12,3.5,3.5,3.75,3,3.12,2.88,3,4.12,4.12,3,3,1.75,1.62,1.25,0.38,1,0,1.62,0.75,2.62,2.62,2,1.75,1,0,1.5,1,1,0,2.75,2.88,4,4,3.38,3.75,3.62,3.75,3.38,3.5,3.12,3.75,2.88,3.12,2.88,3.12
"Agents and Business Managers of Artists, Performers, and Athletes",13-1011.00,4,4,4,4,3.62,3.88,4,4,2.12,2,1.62,0.62,3.75,3.75,3.5,3.5,2.62,2.75,2.88,3,3.88,3.5,3.75,3.75,4,4.12,4,4,2.88,2.88,3,3.38,3.38,3.38,1.75,1.25,1.38,0.38,1,0,1,0,1.5,0.5,1.25,0.25,1.25,0.25,1,0,1,0,1,0,1,0,3.12,3.75,2.5,2.5,2.5,2.5,3.75,3.38,1.88,1.62,1.5,0.75,2.88,3.12
"Buyers and Purchasing Agents, Farm Products",13-1021.00,3.38,3.5,3.75,3.38,3.12,3.12,3.88,3.88,3,3,1.62,1.38,3.88,3.75,3.12,3.12,2.5,3,3.12,3.12,3.12,3.12,3.12,3.12,3.38,3.75,3.38,3.62,2.5,2.88,3,2.62,3.25,3,1.88,1.75,1.75,1,1,0,1,0,1.5,0.75,2.25,2.12,1.88,1.75,1,0,1.62,1.25,1.12,0.25,2.25,2.38,3.38,3.38,3,2.88,2.62,2.62,3.12,3,2.75,2.88,2.88,3.12,3,3
"Wholesale and Retail Buyers, Except Farm Products",13-1022.00,3.25,3.88,3.75,3.88,3,3.38,3.75,3.88,3.12,3.38,1.75,0.88,3.75,4,3.38,3.88,2.88,3.25,3.12,4,3.25,3.5,3.12,3.38,3.75,4,4,4,3,3.12,3.12,3.12,3.25,3.12,2.12,2,1.62,0.62,1,0,1,0,1.75,0.88,1.75,1,1.38,0.38,1,0,1,0,1,0,2.25,1.75,3.38,3.75,2.62,3,3,3.38,3,3.12,3.25,3.38,2.88,3.12,2.75,3.12
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023.00,4,4,3.88,3.88,3.75,3.75,3.88,4,2.88,2.88,1.12,0.25,3.75,3.88,3.75,3.88,3,3.12,3.75,3.88,3.5,3.5,3,3.12,3.75,4,4,4,3.25,3.25,3.12,3.12,3.88,3.88,2.5,2.38,1.5,0.75,1,0,1,0,1.25,0.38,1.5,0.75,1,0,1,0,1.62,0.75,1,0,2.25,1.88,3.75,3.88,2.62,2.62,3,3.12,3.38,3.88,3.75,3.75,3.12,3.25,3.12,3
"Claims Adjusters, Examiners, and Investigators",13-1031.00,4.12,4.5,4,4.25,3.62,3.88,3.88,4,2.88,2.88,1.38,0.5,4,4.25,3.25,3.5,2.5,2.75,3.38,3.88,3.38,3.38,3.25,3.12,2.88,3,3.12,3.25,2.5,2.88,3.12,3,3.5,3.38,1.5,0.88,1.75,0.75,1.12,0.38,1,0,2.12,1.5,1.88,1.25,1.12,0.25,1,0,1.62,0.88,1,0,2.62,2.5,3.75,3.75,3,2.62,2.88,3.12,3,3,2.12,1.88,1.75,1.38,2.75,2.75
"Insurance Appraisers, Auto Damage",13-1032.00,3.5,3.62,3.5,3.88,3.75,3.25,3.75,3.75,2.62,2.75,1.12,0.25,3.38,3.75,2.88,3,2.12,1.5,2.5,2.88,3,3,2.88,2.88,2.88,2.88,2.88,2.88,2.25,2,3,3,2.88,2.88,1.88,1.38,1.38,0.5,1.5,0.62,1,0,1.25,0.5,2.38,2.25,2,2,1.5,0.75,2.12,1.5,1.62,0.88,2.38,2.25,3.12,3.12,2.38,2.12,2.38,2.38,3.25,3,2,1.62,1.5,0.88,2.38,2.12
Compliance Officers,13-1041.00,3.88,4,4,4,3.5,3.75,3.88,4,2.38,2.25,1,0,3.62,3.88,3.25,3,2.62,2.75,3.12,3.25,3.62,3.62,3,2.88,3,3.12,3,3,2.88,2.88,3.12,3.12,3.12,3,1.88,1.25,1.38,0.38,1,0,1,0,1.75,1.12,2.75,2.5,2,2,1,0,1.75,1.12,1,0,2.75,2.38,3.62,3.62,2.75,2.88,2.75,2.75,3.12,2.88,2,1.38,2,1.25,2.62,2.5
Environmental Compliance Inspectors,13-1041.01,4,4.75,3.88,4,3.88,4.12,3.88,4.25,3,3.12,3,3.25,4,4.25,3.75,4.12,3,3.25,3.75,4.38,3.25,3.38,3,3,2.75,2.88,2.88,3,3,3.12,2.88,2.88,3.75,4.12,2.5,2.5,1.75,0.88,1,0,1,0,1.62,1.12,3.38,3.38,2.62,2.62,1.12,0.12,2,2,1,0,3.25,3.38,3.38,3.88,3.25,3.38,3.38,3.75,3,3,1.62,0.75,1.62,0.62,2.62,2.62
Equal Opportunity Representatives and Officers,13-1041.03,4.12,4.75,4.25,4.62,3.88,4.38,4,4.25,2.5,2.75,1.62,0.75,4,4.5,3.75,4,3,3.38,3.38,3.88,4,4.12,3.12,3.25,3.25,4,3,3.62,2.88,3.38,3.12,3.38,3.75,3.62,2,1.88,1.75,0.88,1.12,0.12,1,0,1.88,1.5,1.75,1.25,1.12,0.12,1,0,1,0,1,0,1.75,1.25,3.62,3.75,3.25,3.25,3.25,3.5,3,3,1.38,0.38,1.38,0.38,2.25,2
Government Property Inspectors and Investigators,13-1041.04,4,4.25,4.12,4.12,4,4,4,4.12,2.88,3.12,1.88,1.25,4,4.12,3.5,3.38,3,3.12,3.38,4.12,3.38,3.25,3.38,3.38,3,3.5,3,3.25,3.12,3.25,3.12,3.12,3.5,3.38,1.75,1.25,1.62,0.75,1,0,1,0,1.75,1.25,3,3,2.38,2.5,1,0,1.75,1.12,1,0,3.12,3.25,4,4,3.25,3.38,3.38,3.38,3.12,3.12,2,1.5,2.12,1.88,2.75,2.88
Coroners,13-1041.06,4,4.25,3.88,4.12,3.88,4.12,4,4.12,2.62,2.5,3.12,3.75,4,4.12,3.38,3.75,3,3,3.25,3.5,3.62,4,3.5,3.25,2.62,2.62,2.62,2.5,3,3,3.12,3.25,3.25,3.25,1.5,0.62,1.5,0.62,1.5,0.62,1,0,1.5,0.5,2.12,2,2.12,2,1,0,1.75,0.75,1,0,2,1.62,3.62,3.75,2.75,2.88,2.38,2.38,3,3,1.62,0.75,1.88,1.38,2.88,2.88
Regulatory Affairs Specialists,13-1041.07,3.88,4.75,4,4,4,4.12,4,4.12,2.5,2.88,1.88,1.12,3.88,4.25,3.25,3.88,3,3,3.25,3.75,3.38,3.25,3.12,3.88,3,3.75,3.12,3.25,3,3,3,3,3.75,3.88,2.62,2.62,1.88,1,1,0,1,0,1.88,1.38,2,1.75,1,0,1,0,1,0,1,0,2.12,2,3.88,4.12,3.75,4,3.25,3.88,3.38,3.38,2.12,1.88,2,1.38,2.88,3
Customs Brokers,13-1041.08,3.88,4,4,4,3.75,3.88,3.75,4,3,3,1,0,3.75,3.88,3.25,3.62,3.12,3,3.25,3.62,3,3,3,3.12,2.88,3,3,3.12,3,3,3.25,3,3.75,3.12,1.62,0.75,1.75,0.88,1,0,1,0,1.88,1.38,1.88,1.38,1,0,1,0,1,0,1,0,1.25,0.25,3.25,3,3,3,2.88,3,3.25,3.12,2.25,2.62,2.5,2.5,3,3
Cost Estimators,13-1051.00,4,4.12,3.75,4,3.5,4,3.88,4,4,4.12,1.38,0.38,3.75,4.12,3.25,3.88,2.88,3,3,3.25,3.12,3,3.12,3.12,3,3.5,3,3.25,2.75,2.75,2.75,2.88,3.38,3.62,2.5,2.5,1.5,0.75,1.12,0.12,1,0,1.5,0.88,1.5,0.75,1,0,1,0,1,0,1,0,1.38,0.38,3.62,3.75,3,3.5,3,3.12,3,3,3.12,3.62,2.75,3,2.5,2.5
Human Resources Specialists,13-1071.00,4,4,4,4,3.88,4,4.12,4,2,2,1.12,0.12,3.88,4,3.25,3.38,3,3.25,3,3.75,3.38,3.88,3,3.5,2.88,3,3,3,3.12,3.12,3.38,3.25,3.12,3.12,1.25,0.25,1.75,0.75,1,0,1,0,1.62,0.62,1.5,0.5,1.12,0.12,1,0,1,0,1,0,1.75,0.75,3.25,3.5,2.88,2.75,2.38,2.88,3,3,1.88,1.25,1.88,1.25,2.88,2.88
Farm Labor Contractors,13-1074.00,2.75,2.88,3.38,3.12,2.75,2.75,3.5,3.38,2.12,2.12,1.25,0.38,3,3.25,2.38,2.38,2.25,2.12,2.75,2.62,3,3,3,3.38,2.62,2.88,2.75,3,2.62,2.88,2.62,2.62,2.75,2.75,1.25,0.5,1,0,1.12,0.25,1,0,1.38,0.5,2.38,2.38,2.5,2.38,1,0,1.75,1.12,1,0,1.75,1.38,3,2.75,2.12,2,1.88,1.62,3.12,3.38,1.88,1.88,1.88,1.62,3.25,3.38
Labor Relations Specialists,13-1075.00,4,4.25,4.38,4.5,4,4.5,4.25,4.75,2.38,2.62,1,0,4,4.12,3.5,3.88,3,3.12,3.38,3.88,3.75,4,3.38,3.62,3.88,4.38,4.12,4.38,3,2.88,3.38,3.62,3.62,3.75,1.75,0.88,1.38,0.38,1,0,1,0,1.25,0.25,1.5,0.5,1.12,0.12,1,0,1,0,1,0,1.12,0.25,3.62,4,3.12,3.25,3.12,3.25,3.38,3.12,2,1.62,1.75,1.5,2.88,2.88
Logisticians,13-1081.00,3.88,4.12,3.88,4.12,3.38,3.75,3.88,4,3,3.38,1.75,0.88,4,4.12,3.5,3.5,3,3.5,3.88,4.62,3.62,3.62,3.88,4.25,3.25,3.62,3.25,3.5,3.12,3,3.25,3.38,3.75,3.88,3.12,4,1.75,0.75,1,0,1,0,1.88,1.75,2,1.62,1.12,0.12,1,0,1,0,1,0,2.25,2.25,3.62,4,3.5,3.88,3.25,3.88,3.38,3.75,2.62,2.25,2.88,2.62,3.25,3.75
Logistics Engineers,13-1081.01,4.12,4.38,4,4.12,4,4.12,3.75,4,3.88,4,2.5,2.88,3.88,4.25,3.75,3.88,3,3.5,3.25,3.88,3.12,3.5,3.38,3.62,3.12,3.12,2.88,2.88,3,3,3,3,4,4,3.38,3.75,2.75,2.25,1.75,1.12,1,0,2.62,2.25,2.5,2.62,1.62,0.75,1.38,0.75,2.38,2.12,1.38,0.75,2.75,2.88,4,4,4.12,4.25,3.88,4.12,3.75,3.88,2.75,2.88,2.75,2.88,3.12,3.62
Logistics Analysts,13-1081.02,4,4,3.88,4,3.38,4,3.75,3.38,3,3.75,1.75,0.75,4,4.12,3.12,3.75,2.75,3,3.75,4,3,3,3,3.12,2.88,2.88,2.88,2.88,2.88,2.88,3,2.88,3.88,4,2.12,2.62,1.88,1.75,1,0,1,0,2,1.75,2.12,2,1,0,1,0,1.5,0.5,1,0,2.25,2.25,3.62,4,3.75,4,3.75,3.88,3.25,3.38,2.5,2.5,2.62,2.25,3,2.88
Management Analysts,13-1111.00,4.12,4.12,4.12,4.12,4,4,4,4,3,3.25,1.88,1.75,4.12,4.12,3.25,3.88,3,3.75,3.88,4.12,3.88,4,3.88,4,3.5,3.88,3.12,3.12,3.25,3.5,3.25,3.25,4,4,3,3.88,2.12,1.38,1.12,0.12,1,0,1.88,1.25,1.75,1.12,1.38,0.5,1,0,1.25,0.25,1,0,1.75,0.88,4,4.12,3.75,3.88,3.88,3.88,3.25,3.25,2.25,1.5,2.25,2.25,3,3.12
"Meeting, Convention, and Event Planners",13-1121.00,4,4,4,4,3.5,3.62,4,4,2.5,2.5,1.25,0.25,3.88,3.88,3.38,3.12,2.38,2.88,3.5,3.75,3.88,3.75,3.88,4,3.5,3.5,3.38,3.62,3,3.12,3.88,3.88,3.62,3.5,2.75,2.62,1.75,0.75,1.75,0.88,1,0,1.38,0.38,2,1.62,2,1.75,1.62,0.62,1.75,0.75,1.75,0.75,2.25,1.62,3.62,3.38,3.25,3.12,3.12,3.38,3.75,3.75,3,3.12,2.88,2.88,3.25,3.38
Fundraisers,13-1131.00,4,4,4,4.12,4,4.12,4.12,4.38,3,3,1.38,0.38,3.88,4,3.25,3.5,2.88,3,3.12,3.5,3.62,3.88,3.75,3.88,4,4.38,3.88,3.88,3,3,3.5,3.25,3.25,3.25,2,1.25,1.75,0.75,1.12,0.12,1,0,1.5,0.5,1.62,0.75,1.62,0.62,1,0,1,0,1,0,1.5,0.62,3.38,3.75,3.12,3,3.12,3.12,3,3.62,3,3.12,2.12,2.25,2.75,2.88
"Compensation, Benefits, and Job Analysis Specialists",13-1141.00,3.88,4.12,3.75,4,3.38,3.88,3.75,4,2.88,3.38,2.38,2.25,3.88,4,3.38,3.62,3,3.5,3.25,3.62,3.12,3.75,3,3.12,3.12,3.5,3,3.12,3.12,3.12,3,3,3.38,3.75,2.75,3.12,1.75,1,1,0,1,0,1.75,1.5,1.88,1.25,1,0,1,0,1,0,1,0,1.38,0.62,3.38,3.75,3.12,3.62,3,3.5,3,3.12,2,1.75,2,1.75,2.88,3
Training and Development Specialists,13-1151.00,3.88,4,4,4,3.88,4.12,4.38,4.25,2.38,2.5,1.62,1.12,3.88,4,3.88,3.88,4.12,5,3.88,4.12,4,4,3.75,3.88,3.12,3.38,3.12,3.12,4.38,4.12,3.62,3.75,3.25,3.25,3.12,3.5,1.88,1.25,1.12,0.12,1,0,1.5,0.75,2,1.12,1.12,0.12,1,0,1,0,1,0,1.88,1,3.88,4,3.12,3.12,3.38,3.62,3.62,3.75,2.25,2.88,2.25,2.25,3.12,3.38
Market Research Analysts and Marketing Specialists,13-1161.00,4,4.62,3.88,4,4,4.12,3.88,4,3.25,3.38,2.25,2.25,4,4,3.5,4,3,3,3.25,3.62,3.12,3.38,3,3.12,3.12,3.25,2.62,2.75,2.75,3,2.88,2.88,3.88,3.75,2.88,3.12,1.62,0.75,1,0,1,0,2.12,2,1.88,1.38,1,0,1,0,1,0,1,0,1.62,0.88,3.62,4.12,3.12,3.88,3.12,3.88,3,3.12,1.75,1.62,1.75,1.38,2.75,2.88
Search Marketing Strategists,13-1161.01,3.88,4.12,3.75,4,3.5,3.75,3.62,3.75,2.75,2.88,1.25,0.25,3.75,3.88,3.75,3.88,2.88,3,3.38,3.75,3,3.25,3.25,3.62,3.25,3.62,3,3.12,3.12,3.12,3,3,3.88,4.12,2.12,2.25,2.38,2.25,1,0,1,0,2.75,2.12,2.12,1.88,1,0,1,0,1.12,0.25,1,0,1.88,1.5,3.75,3.75,3.38,3.75,3.38,3.75,3.12,3.5,2.12,2,2,1.88,2.62,3
Business Continuity Planners,13-1199.04,3.88,4.12,3.75,3.88,3.88,4,4,4,2.75,2.88,1.12,0.12,3.88,4.5,3.75,3.75,3.12,3.62,3.5,3.88,3.38,3.5,3.62,3.75,3.12,3.75,3.12,3.12,3.12,3.75,3.38,3.62,4,4.75,2.75,2.75,1.88,1.5,1.25,0.25,1,0,2,1.25,2,2.38,1.12,0.25,1,0,1.5,0.88,1,0,2.38,2.25,4,4,3.88,4,3.62,3.75,3.38,3.38,2.75,3.25,2.75,2.75,3,3.38
Sustainability Specialists,13-1199.05,4,4.12,3.88,4,4,4.12,4,4.12,2.88,2.88,2.25,1.75,3.88,4,3.25,3.38,3.12,3.12,3.5,3.5,3.12,3.25,3.25,3.5,3.12,3.25,3,3,3,3,2.88,3,3.62,3.62,2.25,2.12,1.75,1.12,1.12,0.12,1.12,0.12,1.5,0.62,2.12,2,1.25,0.25,1,0,1.75,0.75,1,0,2.12,2.12,3.62,3.62,3.12,3.25,3.25,3.62,3,3,2,2,1.88,1.75,2.88,2.88
Online Merchants,13-1199.06,3.62,3.75,3.5,3.62,3.38,3.25,3.5,3.38,3,3.12,1.25,0.25,3.5,3.88,2.88,3.12,2.38,2.5,3.12,3.62,3.12,2.75,3,2.88,3.38,3.12,3.12,3.12,2.25,2.62,3.38,3.25,3,3,2,1.5,1.75,1.12,1.25,0.75,1.12,0.12,2.38,1.75,1.88,1.38,1.25,0.25,1,0,1.12,0.12,1.25,0.25,1.62,1.12,3.25,3.25,2.62,2.38,2.62,3,2.88,2.62,2.88,3.38,2.75,2.88,2.62,2.5
Accountants and Auditors,13-2011.00,3.94,4.06,3.94,4,3.75,3.62,3.81,3.88,3.69,4,1.88,1.62,3.88,3.88,3.31,3.5,2.94,3,3.31,3.56,3.06,3.12,3.06,3.19,3.12,3.31,3,3.06,2.88,3.19,3,3.12,3.44,3.56,2.56,2.69,1.75,0.94,1,0,1,0,1.63,1,1.94,1.5,1,0,1,0,1.12,0.19,1,0,1.75,1.12,3.5,3.75,3.19,3.62,2.94,3.44,3.25,3.38,2.56,2.56,2,1.75,2.94,3.06
Appraisers and Assessors of Real Estate,13-2023.00,3.94,4,3.94,3.81,3.44,3.75,3.75,3.88,3.19,3.69,1.69,0.94,3.88,3.88,3.37,3.31,2.06,2,2.81,2.81,3.19,2.94,2.75,2.69,2.81,2.75,2.69,2.69,2.31,2.13,2.88,2.94,3,3,1.75,0.81,1.38,0.38,1.06,0.06,1,0,1.5,0.56,1.94,1.75,2,1.75,1,0,1.69,0.69,1,0,1.94,1.62,3.5,3.69,2.69,2.94,2.37,2.19,3.12,2.94,2,1.56,2,1.31,2.25,2.06
Budget Analysts,13-2031.00,3.88,4,4,4,3.25,3.75,3.75,3.38,3.75,3.5,1.25,0.25,3.75,3.88,3.25,3.38,2.88,2.75,3.12,3.38,3,3,3,3,2.5,2.88,2.5,2.75,2.88,2.88,2.88,2.75,3.62,3.5,2.62,3,1.75,0.88,1,0,1,0,1.88,1.12,1.88,1,1,0,1,0,1,0,1,0,1.25,0.5,3.5,3.62,3.12,3.5,2.88,3,3,3,3.12,3.75,2.25,2,2.75,2.75
Credit Analysts,13-2041.00,3.62,4,3.5,4,3.12,3.88,3.62,4,3.38,4.12,1.38,0.38,3.88,4,3.62,3.62,2.38,2.5,3,3,3,2.88,2.62,2.5,2.38,2.5,2.38,2.75,2.12,2.38,3,3,3,3,2.5,2.38,1,0,1,0,1,0,1.62,1,1.75,1,1.25,0.25,1,0,1,0,1,0,1.62,0.75,3.12,3.75,2.75,3,2.75,3.12,3,3,2,1.88,1.75,0.88,2,1.88
Personal Financial Advisors,13-2052.00,4,4,4,4,4,4,4,4,3.38,3.88,1.88,1.25,3.88,4.12,3.38,3.25,2.88,3,3.12,3.62,3.62,3.5,3.12,2.88,3.62,3.62,3,3,3,3,3.75,3.88,3.75,3.88,2.5,2.5,1.75,0.75,1,0,1,0,1.75,1,2,1.12,1,0,1,0,1,0,1,0,1.75,1,3.88,3.88,3.25,3.5,3.25,3.38,3,3.12,3,3.12,2,1.25,2.25,2.25
Insurance Underwriters,13-2053.00,3.75,3.75,3.75,4,3.75,3.75,3.62,3.62,2.88,2.88,1.38,0.38,3.75,3.88,3.12,3.38,2.75,3,3,3,3,3,3,2.88,2.88,2.75,2.75,2.88,2.75,2.62,3,3,3.12,3.12,1.88,1.75,1.62,0.62,1,0,1,0,1.5,0.75,1.88,0.88,1,0,1,0,1,0,1,0,1.12,0.12,3.5,3.5,2.75,3,2.75,3,2.88,2.88,2,1.12,2,1,2.38,2.25
Financial Examiners,13-2061.00,4.12,4.25,4,4.12,4,4,4,4.12,3.62,3.88,1.25,0.25,4.12,4.5,3.62,4.12,3.38,3.88,3.88,4.25,3.62,3.62,3.62,3.62,2.88,3.12,2.88,3,3.38,3.75,3,3,3.88,4,2.88,3,1.38,0.38,1,0,1,0,1.62,1,1.75,1.25,1.25,0.25,1,0,1,0,1,0,2,1.88,3.88,4.12,3.62,3.88,3.62,4,3.5,3.75,1.75,0.75,1.62,0.62,3.5,3.75
Credit Counselors,13-2071.00,3.88,3.88,3.88,4,3.75,3.75,4,4,3.12,3,1,0,3.75,3.88,3.62,3.5,3.12,3.12,3,3,3.12,3.62,3.12,3.12,3.38,3.5,3.25,3.25,2.88,3,3.62,3.5,3.5,3.25,1.88,1,1.75,1,1,0,1,0,1.5,0.75,1,0,1,0,1,0,1,0,1,0,1.25,0.25,3.5,3.25,2.88,3,3,2.75,3.12,3.12,1.62,0.75,1.12,0.25,2.12,2.62
Loan Officers,13-2072.00,3.88,4,4,4,3.38,3.88,4,4,3.25,3.12,1,0,3.75,4,3.12,3.12,2.75,2.62,2.88,3,3.25,3,2.88,3,2.88,3,2.88,3,2.88,2.75,3,3.5,3.25,3.12,1.75,1.38,1.88,0.88,1,0,1,0,1.62,0.88,1.88,0.88,1.25,0.38,1,0,1,0,1,0,1.5,0.62,3.88,3.88,2.62,2.38,2.25,2.25,3.12,3.25,2.12,1.25,2,1.12,2.62,2.88
"Tax Examiners and Collectors, and Revenue Agents",13-2081.00,4,4.12,4,4,3.25,3.25,4,4,3.25,3.25,1,0,3.88,3.75,3.25,3.75,2.88,3,3.25,3.12,3,3,3,3,2.88,2.88,3,3.12,2.88,3.12,2.88,3,3,3,1.75,1,1.5,0.5,1,0,1.12,0.12,1.62,0.75,1.75,0.88,1.38,0.38,1,0,1,0,1,0,2,1.12,3.12,3.25,2.5,2.25,2.5,2.5,3,2.88,1.88,1.12,1.62,0.75,2.25,2
Tax Preparers,13-2082.00,4,4,3.88,4,3,3,3.25,3.5,3.12,3.25,1,0,3.5,3.62,3.12,3.12,2.75,3,3.12,3,3,2.88,2.75,2.88,2.5,2.5,2.62,2.62,2.75,3,3,3.12,3,3,1.62,0.88,1.5,0.5,1,0,1,0,1.62,0.62,1.38,0.38,1,0,1,0,1,0,1,0,1.88,1.12,3,3,2.5,2.75,2.25,2.25,2.88,3,1.62,0.88,1.5,0.5,2,1.75
Financial Quantitative Analysts,13-2099.01,4,4.75,3.75,4,3.5,4,3.75,4,4.38,5,1.88,1.38,4.12,4.75,3.75,3.88,3,3,3,3.12,3,3,3,3,3.12,3.38,2.88,2.88,3,3.25,2.88,2.88,3.88,4.12,2,1.88,1.88,1.38,1,0,1,0,2.62,2.62,2,1.25,1.12,0.12,1,0,1.12,0.12,1,0,1.75,1.38,3.75,4.25,3.25,3.75,3.25,3.88,3,3,2.88,3,2,1.88,2.62,2.62
"Fraud Examiners, Investigators and Analysts",13-2099.04,4,4,4.12,4.25,4.12,4.12,4,4,3,2.88,1,0,4,4.25,3.75,3.75,2.88,3,3.12,3.25,3.38,3.38,3.62,3.62,3.25,3.38,3.12,3.12,3,3,3,3,4,3.88,1.25,0.38,1.38,0.38,1,0,1,0,1.75,1,1.88,1.62,1.5,0.5,1,0,1,0,1,0,1,0,3.88,4,2.75,3.12,2.62,2.88,3.12,3.25,2,1.88,2,1.88,3,3.12
Computer Systems Analysts,15-1211.00,3.88,4.5,3.75,4,3.38,4,4,4,3,3.38,2.25,1.88,3.75,4,3.62,4,3.12,3,3.38,4,3.12,3.12,3.12,3.25,2.75,3,2.5,2.5,2.88,3.62,3,3,3.38,4,3,3.75,2.88,3.12,2.25,2.38,1.62,0.75,3.25,4,3,3.12,2.5,2.5,1.88,1,3.12,3.88,1.88,1.25,3,3.5,3.62,4.12,3.75,4,3.75,4.12,3.12,3.38,2.12,2,2,1.75,2.88,3
Health Informatics Specialists,15-1211.01,4.25,4.88,4,4.25,4,4,4,4.12,2.88,2.88,2.12,1.88,3.88,4.25,3.75,4.75,3.88,3.88,3.75,4,3.38,3.5,3.75,3.75,3.12,3.62,3.12,3.25,3.38,3.88,3.25,3.62,3.88,4,2.88,2.88,2.75,2.75,1.88,2.25,1.38,0.38,2.75,3.12,2.62,2.75,1.62,0.75,1,0,2.12,2.25,1,0,2.88,2.88,4,4,3.75,4,3.75,4.12,3.12,3.38,2,2.12,2,2.25,2.75,3.12
Information Security Analysts,15-1212.00,4,4.12,3.75,3.88,3.5,3.75,3.62,3.75,2.25,2.38,1.88,1.62,3.88,4.12,3.25,3.88,2.88,3.12,3.38,3.88,2.75,2.75,3,3,2.62,2.88,2.62,2.75,2.88,3.12,2.88,2.75,3.75,3.62,2.5,2.5,2.12,2.12,1.75,1,1.5,0.5,2.62,2.25,3,3.12,1.75,0.88,1.62,0.88,2.12,1.88,1.62,0.75,3,3.12,3.38,3.62,3.38,3.38,3,3.38,3.12,3.12,1.75,1.12,1.75,1,2.88,2.88
Computer and Information Research Scientists,15-1221.00,3.75,4.5,3.75,4.12,3.38,4.12,3.5,4.12,3.38,4.38,3.12,3.38,4,4.25,3.5,4.88,3,3.5,3.12,4,3,3.12,3,3.75,2.75,3.5,2.5,2.62,3,3.38,2.75,2.88,4,4.38,3.12,3.88,3.12,4.12,1.88,1.75,1,0,3.62,4.5,2.62,2.75,2,1.75,1.12,0.25,2.38,3,1.12,0.25,2.38,2.62,4,4.62,3.75,4.38,3.62,4.88,3.38,3.88,2.5,2.88,2.25,2.62,2.88,3.62
Computer Network Support Specialists,15-1231.00,3.38,3.88,3.5,3.62,3,3.5,3.25,3.5,2.12,2.62,1.88,1.5,3.75,3.75,3.25,3.38,2.62,3.25,3.25,3.62,2.88,2.88,2.75,2.75,2.25,2.62,2.25,2,2.62,3.25,2.5,2.88,3.25,3.25,1.88,1.88,2.12,1.88,2.5,2.75,2.75,3.12,2.25,1.75,3,3.12,2,2.12,2.62,2.75,3.12,3.12,2.88,3,2.88,3.12,3.38,3.38,3.12,3.38,3,3.25,3,2.62,1.5,0.75,2,1.62,2.25,2.25
